date,time,origin,destination,ridership
2025-01-08,12:00,JB Sentral,Woodlands CIQ,187
2025-01-08,13:00,Woodlands CIQ,JB Sentral,211
2025-01-08,14:00,JB Sentral,Woodlands CIQ,179
2025-01-08,15:00,Woodlands CIQ,JB Sentral,103
2025-01-08,15:00,JB Sentral,Woodlands CIQ,322
2025-01-08,16:00,Woodlands CIQ,JB Sentral,72
2025-01-08,16:00,JB Sentral,Woodlands CIQ,323
2025-01-08,17:00,Woodlands CIQ,JB Sentral,153
2025-01-08,17:00,JB Sentral,Woodlands CIQ,322
2025-01-08,18:00,Woodlands CIQ,JB Sentral,320
2025-01-08,19:00,JB Sentral,Woodlands CIQ,320
2025-01-08,20:00,Woodlands CIQ,JB Sentral,320
2025-01-08,20:00,JB Sentral,Woodlands CIQ,320
2025-01-08,21:00,Woodlands CIQ,JB Sentral,196
2025-01-08,21:00,JB Sentral,Woodlands CIQ,321
2025-01-08,22:00,Woodlands CIQ,JB Sentral,157
2025-01-08,22:00,JB Sentral,Woodlands CIQ,307
2025-01-08,23:00,Woodlands CIQ,JB Sentral,43
2025-01-09,05:00,JB Sentral,Woodlands CIQ,616
2025-01-09,06:00,JB Sentral,Woodlands CIQ,640
2025-01-09,07:00,JB Sentral,Woodlands CIQ,640
2025-01-09,08:00,Woodlands CIQ,JB Sentral,321
2025-01-09,08:00,JB Sentral,Woodlands CIQ,320
2025-01-09,09:00,Woodlands CIQ,JB Sentral,320
2025-01-09,11:00,JB Sentral,Woodlands CIQ,273
2025-01-09,12:00,Woodlands CIQ,JB Sentral,323
2025-01-09,12:00,JB Sentral,Woodlands CIQ,147
2025-01-09,13:00,Woodlands CIQ,JB Sentral,324
2025-01-09,14:00,JB Sentral,Woodlands CIQ,171
2025-01-09,15:00,Woodlands CIQ,JB Sentral,149
2025-01-09,15:00,JB Sentral,Woodlands CIQ,325
2025-01-09,16:00,Woodlands CIQ,JB Sentral,92
2025-01-09,16:00,JB Sentral,Woodlands CIQ,323
2025-01-09,17:00,Woodlands CIQ,JB Sentral,183
2025-01-09,17:00,JB Sentral,Woodlands CIQ,321
2025-01-09,18:00,Woodlands CIQ,JB Sentral,320
2025-01-09,19:00,JB Sentral,Woodlands CIQ,320
2025-01-09,20:00,Woodlands CIQ,JB Sentral,320
2025-01-09,20:00,JB Sentral,Woodlands CIQ,320
2025-01-09,21:00,Woodlands CIQ,JB Sentral,323
2025-01-09,21:00,JB Sentral,Woodlands CIQ,321
2025-01-09,22:00,Woodlands CIQ,JB Sentral,190
2025-01-09,22:00,JB Sentral,Woodlands CIQ,321
2025-01-09,23:00,Woodlands CIQ,JB Sentral,43
2025-01-10,05:00,JB Sentral,Woodlands CIQ,593
2025-01-10,06:00,JB Sentral,Woodlands CIQ,640
2025-01-10,07:00,JB Sentral,Woodlands CIQ,640
2025-01-10,08:00,Woodlands CIQ,JB Sentral,321
2025-01-10,08:00,JB Sentral,Woodlands CIQ,282
2025-01-10,09:00,Woodlands CIQ,JB Sentral,321
2025-01-10,10:00,JB Sentral,Woodlands CIQ,118
2025-01-10,11:00,Woodlands CIQ,JB Sentral,323
2025-01-10,11:00,JB Sentral,Woodlands CIQ,161
2025-01-10,12:00,Woodlands CIQ,JB Sentral,321
2025-01-10,12:00,JB Sentral,Woodlands CIQ,172
2025-01-10,13:00,Woodlands CIQ,JB Sentral,326
2025-01-10,14:00,JB Sentral,Woodlands CIQ,142
2025-01-10,15:00,Woodlands CIQ,JB Sentral,321
2025-01-10,15:00,JB Sentral,Woodlands CIQ,314
2025-01-10,16:00,Woodlands CIQ,JB Sentral,324
2025-01-10,16:00,JB Sentral,Woodlands CIQ,321
2025-01-10,17:00,Woodlands CIQ,JB Sentral,321
2025-01-10,17:00,JB Sentral,Woodlands CIQ,320
2025-01-10,18:00,Woodlands CIQ,JB Sentral,320
2025-01-10,19:00,JB Sentral,Woodlands CIQ,320
2025-01-10,20:00,Woodlands CIQ,JB Sentral,320
2025-01-10,20:00,JB Sentral,Woodlands CIQ,320
2025-01-10,21:00,Woodlands CIQ,JB Sentral,322
2025-01-10,21:00,JB Sentral,Woodlands CIQ,320
2025-01-10,22:00,Woodlands CIQ,JB Sentral,320
2025-01-10,22:00,JB Sentral,Woodlands CIQ,320
2025-01-10,23:00,Woodlands CIQ,JB Sentral,321
2025-01-11,05:00,JB Sentral,Woodlands CIQ,157
2025-01-11,06:00,JB Sentral,Woodlands CIQ,270
2025-01-11,07:00,JB Sentral,Woodlands CIQ,404
2025-01-11,08:00,Woodlands CIQ,JB Sentral,320
2025-01-11,08:00,JB Sentral,Woodlands CIQ,320
2025-01-11,09:00,Woodlands CIQ,JB Sentral,321
2025-01-11,10:00,JB Sentral,Woodlands CIQ,320
2025-01-11,11:00,Woodlands CIQ,JB Sentral,324
2025-01-11,11:00,JB Sentral,Woodlands CIQ,270
2025-01-11,12:00,Woodlands CIQ,JB Sentral,323
2025-01-11,12:00,JB Sentral,Woodlands CIQ,323
2025-01-11,13:00,Woodlands CIQ,JB Sentral,325
2025-01-11,14:00,JB Sentral,Woodlands CIQ,323
