od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Anak Bukit → Kodiang,2.0,6.0,0.0,0.0,1.0,6.0,91.0,89.0,105.0,109.0,48.0,63.0,93.0,104.0,97.0,129.0,203.0,298.0,266.0,165.0,86.0,31.0,56.0,11.0
Anak Bukit → Kuala Kangsar,11.0,2.0,5.0,3.0,6.0,48.0,135.0,193.0,109.0,74.0,206.0,82.0,135.0,127.0,217.0,214.0,165.0,136.0,26.0,26.0,14.0,3.0,1.0,1.0
Anak Bukit → Nibong Tebal,5.0,2.0,2.0,1.0,14.0,105.0,133.0,357.0,60.0,103.0,184.0,79.0,169.0,95.0,246.0,236.0,240.0,233.0,112.0,71.0,8.0,3.0,0.0,2.0
Anak Bukit → Padang Besar,81.0,68.0,23.0,12.0,37.0,276.0,1421.0,2766.0,2991.0,3203.0,1393.0,2426.0,1076.0,1457.0,721.0,1122.0,595.0,396.0,300.0,277.0,191.0,92.0,79.0,22.0
Anak Bukit → Padang Rengas,1.0,0.0,0.0,1.0,0.0,11.0,22.0,32.0,8.0,22.0,34.0,4.0,12.0,15.0,19.0,42.0,34.0,59.0,13.0,6.0,2.0,0.0,0.0,0.0
Anak Bukit → Parit Buntar,7.0,9.0,2.0,5.0,7.0,156.0,162.0,445.0,215.0,165.0,194.0,96.0,253.0,108.0,280.0,329.0,367.0,279.0,105.0,89.0,22.0,4.0,3.0,2.0
Anak Bukit → Penalty,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,4.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anak Bukit → Simpang Ampat,6.0,2.0,2.0,0.0,12.0,45.0,86.0,175.0,86.0,112.0,185.0,74.0,183.0,96.0,234.0,162.0,244.0,220.0,87.0,44.0,4.0,3.0,0.0,0.0
Anak Bukit → Sungai Petani,102.0,52.0,33.0,13.0,33.0,814.0,6510.0,5817.0,3814.0,2108.0,2272.0,1609.0,2288.0,1760.0,2532.0,3719.0,4140.0,4133.0,5073.0,2306.0,1194.0,1140.0,410.0,122.0
Anak Bukit → Sungai Siput,9.0,1.0,0.0,0.0,3.0,16.0,20.0,26.0,24.0,9.0,34.0,17.0,28.0,17.0,63.0,36.0,46.0,33.0,3.0,3.0,3.0,4.0,0.0,0.0
